"word","freq"
"features","features",5
"find","find",5
"goodhealth","goodhealth",5
"gsk","gsk",5
"her","her",5
"httptco0","httptco0",5
"httptco4lx6pe6wye","httptco4lx6pe6wye",5
"httptcoi8x3jrwarp","httptcoi8x3jrwarp",5
"httptconcwpue0bf7","httptconcwpue0bf7",5
"httptcoqhjtsawkxs","httptcoqhjtsawkxs",5
"httptcorhkuwsvpo6","httptcorhkuwsvpo6",5
"httptcorzrs0ojr3r","httptcorzrs0ojr3r",5
"httptcotijp3n2kdz","httptcotijp3n2kdz",5
"indiegogo","indiegogo",5
"infected","infected",5
"iom","iom",5
"itns","itns",5
"jci","jci",5
"jobs","jobs",5
"last","last",5
"left","left",5
"level","level",5
"link","link",5
"liverpool","liverpool",5
"lives","lives",5
"london","london",5
"lt5","lt5",5
"malariahas","malariahas",5
"matched","matched",5
"never","never",5
"nothing","nothing",5
"open","open",5
"ourselves","ourselves",5
"phones","phones",5
"polio","polio",5
"pover","pover",5
"preventing","preventing",5
"protecting","protecting",5
"reached","reached",5
"reproduction","reproduction",5
"resistance","resistance",5
"rise","rise",5
"risk","risk",5
"saved","saved",5
"sciam","sciam",5
"scientist","scientist",5
"soyab","soyab",5
"spike","spike",5
"spread","spread",5
"stop","stop",5
"students","students",5
"tamale","tamale",5
"they","they",5
"uganda","uganda",5
"una","una",5
"unwebcast","unwebcast",5
"usaidprogre","usaidprogre",5
"warns","warns",5
"wehiresearch","wehiresearch",5
"workers","workers",5
"yrs","yrs",5
"2015","2015",4
"act","act",4
"adjuvants","adjuvants",4
"allafrica","allafrica",4
"among","among",4
"año","año",4
"astho","astho",4
"bbbrieger","bbbrieger",4
"bracworld","bracworld",4
"burden","burden",4
"cada","cada",4
"ceos","ceos",4
"day","day",4
"develop","develop",4
"diagnostic","diagnostic",4
"drray","drray",4
"drsampyroy","drsampyroy",4
"easy","easy",4
"empower","empower",4
"followers","followers",4
"good","good",4
"heatstable","heatstable",4
"httptco7pva","httptco7pva",4
"httptcoar3tkg7vnz","httptcoar3tkg7vnz",4
"httptcodw7sppstf1","httptcodw7sppstf1",4
"httptcoegeb6cvnmm","httptcoegeb6cvnmm",4
"httptcoethpg6wflz","httptcoethpg6wflz",4
"httptcogtnno8ff80","httptcogtnno8ff80",4
"httptcokmankh4bns","httptcokmankh4bns",4
"httptcol","httptcol",4
"httptcoodxdmaknq9","httptcoodxdmaknq9",4
"httptcoofsceeqy","httptcoofsceeqy",4
"httptcopgfx2c8rwq","httptcopgfx2c8rwq",4
"httptcophzpxklkiz","httptcophzpxklkiz",4
"httptcoqoz0ahldzz","httptcoqoz0ahldzz",4
"httptcospbe6xhlfr","httptcospbe6xhlfr",4
"httptcoxdvhgkehrt","httptcoxdvhgkehrt",4
"httptcozaxuui9oac","httptcozaxuui9oac",4
"implementation","implementation",4
"information","information",4
"los","los",4
"mahathir","mahathir",4
"malariapoems","malariapoems",4
"management","management",4
"mata","mata",4
"may","may",4
"medical","medical",4
"meet","meet",4
"mim2013","mim2013",4
"months","months",4
"nandos","nandos",4
"national","national",4
"nurses","nurses",4
"nursing","nursing",4
"paludismo","paludismo",4
"paper","paper",4
"pathogenposse","pathogenposse",4
"patients","patients",4
"persists","persists",4
"personas","personas",4
"plosbiology","plosbiology",4
"post","post",4
"pregnant","pregnant",4
"public","public",4
"push","push",4
"que","que",4
"register","register",4
"replenishment","replenishment",4
"researcher","researcher",4
"save","save",4
"should","should",4
"stance","stance",4
"sustain","sustain",4
"treated","treated",4
"tuberculosis","tuberculosis",4
"verge","verge",4
"whos","whos",4
"women","women",4
"won","won",4
"2005","2005",3
"40yr","40yr",3
"afric","afric",3
"africacdcglobal","africacdcglobal",3
"africairs","africairs",3
"atleast","atleast",3
"barrio","barrio",3
"barrios","barrios",3
"believe","believe",3
"between","between",3
"blood","blood",3
"call","call",3
"cambodia","cambodia",3
"camp","camp",3
"caught","caught",3
"cdctravel","cdctravel",3
"challenges","challenges",3
"check","check",3
"checklist","checklist",3
"combined","combined",3
"criticized","criticized",3
"ddt","ddt",3
"death","death",3
"diagnosed","diagnosed",3
"didyouknow","didyouknow",3
"drink","drink",3
"education","education",3
"eggs","eggs",3
"endma","endma",3
"este","este",3
"evidence","evidence",3
"fightingmalaria","fightingmalaria",3
"final","final",3
"foundation","foundation",3
"fund","fund",3
"gansgterdelacuadra","gansgterdelacuadra",3
"gebied","gebied",3
"goal","goal",3
"government","government",3
"had","had",3
"halloween","halloween",3
"healthyliving","healthyliving",3
"helping","helping",3
"highlights","highlights",3
"history","history",3
"hits","hits",3
"hope","hope",3
"htt","htt",3
"httptco41gxf8jacp","httptco41gxf8jacp",3
"httptco4asxcw0","httptco4asxcw0",3
"httptco5me3ge","httptco5me3ge",3
"httptco6qecarhyby","httptco6qecarhyby",3
"httptcoak12rftpmz","httptcoak12rftpmz",3
"httptcodhs8vguyup","httptcodhs8vguyup",3
"httptcodtq3dgrysl","httptcodtq3dgrysl",3
"httptcoj2qwgwz9ws","httptcoj2qwgwz9ws",3
"httptcojcipzmiiht","httptcojcipzmiiht",3
"httptcoopbfxuokmt","httptcoopbfxuokmt",3
"httptcorytxxf3r6s","httptcorytxxf3r6s",3
"httptcou3buv3tzfx","httptcou3buv3tzfx",3
"httptcouzgwaqkjdo","httptcouzgwaqkjdo",3
"httptcovk","httptcovk",3
"httptcoxj9gr59yhp","httptcoxj9gr59yhp",3
"httptcoycyowclvey","httptcoycyowclvey",3
"httptcozgxo7wqs7v","httptcozgxo7wqs7v",3
"images","images",3
"interesting","interesting",3
"killing","killing",3
"kostelijk","kostelijk",3
"least","least",3
"levels","levels",3
"likedrray","likedrray",3
"llins","llins",3
"lshtmmalaria","lshtmmalaria",3
"made","made",3
"mas","mas",3
"mating","mating",3
"medsformalaria","medsformalaria",3
"mentioning","mentioning",3
"mercatornet","mercatornet",3
"merompelasbolasque","merompelasbolasque",3
"messages","messages",3
"mim","mim",3
"minder","minder",3
"mortality","mortality",3
"mozambique","mozambique",3
"much","much",3
"must","must",3
"nandosuk","nandosuk",3
"nestornongo","nestornongo",3
"north","north",3
"otros","otros",3
"panafrican","panafrican",3
"para","para",3
"payday","payday",3
"peak","peak",3
"phase","phase",3
"photo","photo",3
"photography","photography",3
"photos","photos",3
"pregnancy","pregnancy",3
"preventionamptreatment","preventionamptreatment",3
"program","program",3
"project","project",3
"rapid","rapid",3
"really","really",3
"red","red",3
"rehardcore","rehardcore",3
"reizen","reizen",3
"released","released",3
"researched","researched",3
"rispecttudebarrio","rispecttudebarrio",3
"role","role",3
"rotary","rotary",3
"socialmedia","socialmedia",3
"some","some",3
"spray","spray",3
"strategy","strategy",3
"technology","technology",3
"tesfanews","tesfanews",3
"those","those",3
"took","took",3
"tools","tools",3
"travellers","travellers",3
"treat","treat",3
"trial","trial",3
"usa","usa",3
"useful","useful",3
"vengan","vengan",3
"very","very",3
"village","village",3
"welcome","welcome",3
"west","west",3
"when","when",3
"wheres","wheres",3
"1millionhealthworkers","1millionhealthworkers",2
"2014","2014",2
"2day","2day",2
"410","410",2
"450m","450m",2
"800","800",2
"according","according",2
"action","action",2
"add","add",2
"advised","advised",2
"africas","africas",2
"agsciences","agsciences",2
"air","air",2
"airs","airs",2
"alastairmillen","alastairmillen",2
"alertnetclimate","alertnetclimate",2
"allcause","allcause",2
"america","america",2
"amplified","amplified",2
"ann7","ann7",2
"antimalarials","antimalarials",2
"any","any",2
"anyexcuse","anyexcuse",2
"apha13","apha13",2
"aphaannualmtg","aphaannualmtg",2
"appetite","appetite",2
"arm","arm",2
"around","around",2
"arrest","arrest",2
"artemisininbased","artemisininbased",2
"atlasreizen","atlasreizen",2
